corrida;pasajeros;tiempo_total;hipervolumen_corrida
1;466;1024.8550609554175;398037.45345558366
1;479;1051.5017741196687;398037.45345558366
1;480;1093.0525426381873;398037.45345558366
1;483;1103.6823991196688;398037.45345558366
1;492;1126.5046676381871;398037.45345558366
1;498;1128.9512324530021;398037.45345558366
1;512;1132.1476074530021;398037.45345558366
1;518;1170.498857453002;398037.45345558366
1;519;1232.8540204964804;398037.45345558366
1;527;1236.0040204964803;398037.45345558366
1;535;1250.508857453002;398037.45345558366
1;542;1310.651602730644;398037.45345558366
1;550;1339.426357453002;398037.45345558366
1;557;1408.2085089456318;398037.45345558366
1;569;1420.3661981968776;398037.45345558366
1;572;1426.3593173192228;398037.45345558366
1;585;1555.9014660063358;398037.45345558366
1;591;1578.0658496895076;398037.45345558366
1;592;1693.3622549410552;398037.45345558366
1;604;1707.031589482118;398037.45345558366
1;606;1780.6477695038755;398037.45345558366
1;614;1782.4834423192228;398037.45345558366
1;615;1849.5777549410552;398037.45345558366
1;621;1950.7137549410552;398037.45345558366
1;633;1962.5997549410552;398037.45345558366
1;645;2189.9830996895075;398037.45345558366
2;289;698.9765966437245;403775.6882155837
2;296;717.7785287478251;403775.6882155837
2;326;745.2510457751212;403775.6882155837
2;327;756.7999776220842;403775.6882155837
2;340;781.8588620811585;403775.6882155837
2;356;789.1248620811584;403775.6882155837
2;364;800.5270948630977;403775.6882155837
2;387;826.9636491196687;403775.6882155837
2;395;855.3019824530021;403775.6882155837
2;424;889.8192741196688;403775.6882155837
2;428;924.6194824530021;403775.6882155837
2;441;953.9876442887509;403775.6882155837
2;457;971.0827430112458;403775.6882155837
2;467;1024.4642741196687;403775.6882155837
2;469;1065.2676046598488;403775.6882155837
2;482;1073.452607453002;403775.6882155837
2;492;1092.0432957751214;403775.6882155837
2;500;1112.9092741196687;403775.6882155837
2;512;1134.6216890923515;403775.6882155837
2;517;1201.622607453002;403775.6882155837
2;535;1251.0631365297643;403775.6882155837
2;542;1304.1179390923514;403775.6882155837
2;551;1388.6344584372112;403775.6882155837
2;554;1393.462197351429;403775.6882155837
2;560;1424.122197351429;403775.6882155837
2;572;1437.903447351429;403775.6882155837
2;574;1526.7357084372113;403775.6882155837
2;577;1555.2992806847622;403775.6882155837
2;579;1588.2548180216943;403775.6882155837
2;583;1610.0885894821179;403775.6882155837
2;591;1626.2885768783772;403775.6882155837
2;592;1626.5884473514288;403775.6882155837
2;595;1718.457339482118;403775.6882155837
2;596;1721.1175417705444;403775.6882155837
2;611;1734.4394048424865;403775.6882155837
2;615;1791.8949587811474;403775.6882155837
